LEMMA,DEFINITION,EXAMPLE,POS
articulate,expressing yourself easily or characterized by clear expressive language,articulate speech,a
lactating,producing or secreting milk,lactating cows,a
secret,indulging only covertly,a secret alcoholic,s
intestate,having made no legally valid will before death or not disposed of by a legal will,he died intestate,a
necrotic,relating to or affected by necrosis,necrotic tissue,a
flatly,in an unqualified manner,he flatly denied the charges,r
nickel,five dollars worth of a drug,a nickel bag of drugs,n
essential,absolutely necessary; vitally necessary,funds essential to the completion of the project,s
dearly,at a great cost,he paid dearly for the food,r
thickening,any material used to thicken,starch is used in cooking as a thickening,n
prima,indicating the most important performer or role,prima ballerina,s
weakly,in a weak or feeble manner or to a minor degree,wheezed weakly,r
fabulous,extremely pleasing,a fabulous vacation,s
floaty,tending to float on a liquid or rise in air or gas,a floaty scarf,s
right,in accord with accepted standards of usage or procedure,the right way to open oysters,s
roots,the condition of belonging to a particular place or group by virtue of social or ethnic or cultural lineage,his music has African roots,n
drink,any large deep body of water,he jumped into the drink and had to be rescued,n
damn,expletives used informally as intensifiers,I'll be damned (or blessed or darned or goddamned) if I'll do any such thing,s
diffuse,lacking conciseness,a diffuse historical novel,s
honestly,(used as intensives reflecting the speaker's attitude) it is sincerely the case that,"honestly, I don't believe it",r
wrongdoing,activity that transgresses moral or civil law,he denied any wrongdoing,n
gallant,having or displaying great dignity or nobility,a gallant pageant,s
horned,having a horn or horns or hornlike parts or horns of a particular kind,great horned owl,a
love,sexual activities (often including sexual intercourse) between two people,his lovemaking disgusted her,n
furious,marked by extreme anger,furious about the accident,s
unsteady,subject to change or variation,her unsteady walk,a
unsealed,not closed or secured with or as if with a seal,the letter arrived unsealed,a
bashful,"self-consciously timid; lowering my head, I looked at the wall""- Ezra Pound","I never laughed, being bashful",s
adoptive,of parents and children; related by adoption,adoptive parents,a
still,a static photograph (especially one taken from a movie and used for advertising purposes),he wanted some stills for a magazine ad,n
part,something determined in relation to something that includes it,he wanted to feel a part of something bigger than himself,n
easy,having little impact,an easy pat on the shoulder,s
oil-bearing,containing oil,oil-bearing shale,s
structural,"relating to or caused by structure, especially political or economic structure",structural unemployment in a technological society,a
syllabic,consisting of or using a syllabary,eskimos of the eastern Arctic have a system of syllabic writing,a
helm,a position of leadership,the President is at the helm of the Ship of State,n
associate,a person who joins with others in some activity or endeavor,he had to consult his associate before continuing,n
situation,a condition or position in which you find yourself,the unpleasant situation (or position) of having to choose between two evils,n
commiserative,feeling or expressing sympathy,"made commiserative clicking sounds with his tongue""- Kenneth Roberts",s
syllogistic,of or relating to or consisting of syllogism,syllogistic reasoning,a
stinging,a kind of pain; something as sudden and painful as being stung,he felt the stinging of nettles,n
peculiar,unique or specific to a person or thing or category,a peculiar bond of sympathy between them,s
shaggy,used of hair; thick and poorly groomed,a shaggy beard,s
casual,occurring or appearing or singled out by chance,a casual meeting,s
stretch,increase in quantity or bulk by adding a cheaper substance,stretch the soup by adding some more cream,v
thirst,strong desire for something (not food or drink),a thirst for knowledge,n
totipotent,having the ability to give rise to unlike cells,embryonic stem cells are totipotent,a
volume,a publication that is one of a set of several similar publications,the third volume was missing,n
exquisite,intense or sharp,felt exquisite pleasure,s
retribution,"the act of taking revenge (harming someone in retaliation for something harmful that they have done) especially in the next life; I will repay, saith the Lord""--Romans 12:19",the swiftness of divine retribution,n
nationalist,devotion to the interests or culture of a particular nation including promoting the interests of one country over those of others,minor nationalistic differences,s
breakaway,having separated or advocating separation from another entity or policy or attitude,a breakaway faction,s
shade,relative darkness caused by light rays being intercepted by an opaque body,it is much cooler in the shade,n
initiation,the act of starting something for the first time; introducing something new,she looked forward to her initiation as an adult,n
